"id";"schluessel";"von";"bis";"von_str";"bis_str";"wdm";"wdm_klar";"strasse";"status";"historie";"straba";"laenge";"aend";"geom"
16168;"09159130";"14866";"18869";;;"SB";"Straßenbahn (eigene Trasse)";"Berthold-Haupt-Straße";5;"AKT";"U";20.55;2024-02-06;"SRID=4326;LINESTRING(13.85532365965378254202 51.00852333753348233358,13.85543123663141962254 51.0084987609387781049,13.85550368635403906126 51.00845501808593240867,13.85553354756924804292 51.00840944792440012634)"
17793;"09159015";"19319";"14855";"Baumschulenweg";"Kastanienstr.";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";127.79;2024-02-06;"SRID=4326;LINESTRING(13.8334903761297738356 51.00965179460609988382,13.83395120549238832552 51.00959164617360386274,13.83478010638735611337 51.00947670839824610312,13.83527073403635299087 51.00940958122253476859)"
17792;"09159010";"14605";"19319";"Pirnaer Landstr.";"Baumschulenweg";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";176.05;2024-02-06;"SRID=4326;LINESTRING(13.83104065713667374382 51.00999423690121403752,13.83159429859708389188 51.0099160774563173959,13.83235700390988753838 51.00981048590071509352,13.8329794942378487832 51.00971847279314630441,13.8334903761297738356 51.00965179460609988382)"
7526;"09186020";"14940";"14864";;;"SB";"Straßenbahn (eigene Trasse)";"Freystraße";5;"AKT";"S";83.84;2024-02-06;"SRID=4326;LINESTRING(13.85513419218214892226 51.00808220503710543881,13.85502429868694562742 51.00809692316397558898,13.85490106520311037741 51.00814507269152642266,13.85438775840857950072 51.00840262300811644991,13.85431502174498774593 51.00843349987125208145,13.8542550419353176494 51.00845462853319389751,13.85413237328674540549 51.00847110814105178633)"
7567;"09198040";"14940";"18869";;;"SB";"Straßenbahn (eigene Trasse)";"Kurhausstraße";5;"AKT";"S";54.64;2024-02-06;"SRID=4326;LINESTRING(13.85513419218214892226 51.00808220503710543881,13.85524677635976154022 51.0080852812635825444,13.8553401630045645021 51.00810833218498885344,13.85540932241515044154 51.00815712695127501775,13.85553187143761810773 51.00823962833801772376,13.85557302934286916241 51.0083076236378616386,13.85555896112379592466 51.00837066426391430696,13.85553354756924804292 51.00840944792440012634)"
7694;"09250010";"14815";"14820";;;"SB";"Straßenbahn (eigene Trasse)";"ÖFW 29 - Laubegast";5;"AKT";"O";94.64;2024-02-06;"SRID=4326;LINESTRING(13.83735240062386395721 51.02319254202156884048,13.83751824787873019318 51.02317188539135628389,13.83757508750912457174 51.02310292805887570466,13.8377645841011762684 51.02294930247530402312,13.83805418913769180733 51.02273629595898540856,13.83815420996014822208 51.02268057446611493333,13.83825340900376232867 51.02265777653115463863,13.83831734956372017109 51.02265292392238649199)"
7776;"09288010";"14413";"14244";;;"SB";"Straßenbahn (eigene Trasse)";"ÖFW 55 - Altstadt II";5;"AKT";"O";126.4;2024-02-06;"SRID=4326;LINESTRING(13.75736277835692966676 51.04528352490331144509,13.75748394282275199885 51.04541209113676814013,13.75828365324835367289 51.046260637671835525)"
7860;"10001030";"15137";"15138";"Richard-Strauss-Platz";"Strehlener Platz";"H";"sonstige Hauptverkehrsstraße";"Gerhart-Hauptmann-Straße";20;"AKT";"S";163.06;2024-02-06;"SRID=4326;LINESTRING(13.74937041617714861275 51.03540702240835003067,13.74936821428497779607 51.03538338350917058506,13.74936598966217005113 51.03535952943646947233,13.74935497193841626995 51.03503359634871117123,13.74935576927054725616 51.03481442112062893557,13.74935591105705157133 51.03481323377777556516,13.74935617412481470012 51.034751542653502554,13.74935533862391778825 51.03474803547611315935,13.74935279174488123033 51.03473737142406463363,13.74932907422025074595 51.03415409573776173602,13.74931424654742251334 51.03407342995487994131,13.74930811697362820212 51.03400677017317832451,13.74929886950154944714 51.03396210241358943449,13.74929482305356387428 51.033942562509359675)"
16821;"10001010";"15135";"19014";"Tiergartenstraße";"Richard-Strauss-Platz";"H";"sonstige Hauptverkehrsstraße";"Gerhart-Hauptmann-Straße";0;"AKT";"B";161.16;2024-02-06;"SRID=4326;LINESTRING(13.74863349415309343726 51.03748593240671738158,13.74878275687514772585 51.03737518527022842818,13.74888274320128189743 51.03727636012367696594,13.74898307347314663218 51.03716469492941598673,13.74909598284239820032 51.03700607124356736222,13.74918852515947875759 51.03684723033771319933,13.74923053969702380073 51.03674787517071820275,13.74930738948210340311 51.03656559169954221034,13.74935396250692143383 51.03639040596740983347,13.74938030123795940085 51.03618334328769634567,13.74938101337366269661 51.03614507716793013969)"
7864;"10002010";"15136";"15137";"Platzmitte";"Gerhart-Hauptmann-Str./HN 6";"H";"sonstige Hauptverkehrsstraße";"Richard-Strauss-Platz";0;"AKT";"S";34.07;2024-02-06;"SRID=4326;LINESTRING(13.74937545442926278838 51.03571332384682790462,13.74937247536630735567 51.0355759858034545573,13.74937041617714861275 51.03540702240835003067)"
16820;"10002005";"19014";"15136";"Gerhart-Hauptmann-Str./HN 39";"Platzmitte";"H";"sonstige Hauptverkehrsstraße";"Richard-Strauss-Platz";0;"AKT";"S";48.02;2024-02-06;"SRID=4326;LINESTRING(13.74938101337366269661 51.03614507716793013969,13.74938289358911802651 51.03604429778030748821,13.74937545442926278838 51.03571332384682790462)"
7867;"10003010";"15138";"15144";;;"SB";"Straßenbahn (eigene Trasse)";"Strehlener Platz";5;"AKT";"G";34.54;2024-02-06;"SRID=4326;LINESTRING(13.74929482305356387428 51.033942562509359675,13.74925077921854743579 51.03379816790958045658,13.74918182982051106933 51.03364052005373707743)"
7986;"10007030";"15250";"15251";"Richard-Wagner-Str.";"Beethovenstr.";"H";"sonstige Hauptverkehrsstraße";"Tiergartenstraße";0;"AKT";"S";200.6;2024-02-06;"SRID=4326;LINESTRING(13.7542144467332665414 51.03611260727450371633,13.75541479473882766627 51.03561809774321744726,13.75663033938097967734 51.03514704000174617704)"
